yelec (um),stim freq,kBath multiplier,pump multiplier,testAmp,testDur,carryover,xBT,num elec,dist between elecs,page of excel sheet
1000,40,0.9,1,-502500,2500,90.6875,1.5,1,0,
1000,40,0.9,1,-670000,500,66.275,2,1,0,
1000,40,0.9,1,-670000,1000,91.0125,2,1,0,
1000,40,0.9,1,-670000,1500,91.0625,2,1,0,
1000,40,0.9,1,-670000,2000,91.0875,2,1,0,
1000,40,0.9,1,-670000,2500,91.1125,2,1,0,
1000,40,0.95,1,-335000,500,65.7375,1,1,0,
1000,40,0.95,1,-335000,1000,90.625,1,1,0,
1000,40,0.95,1,-335000,1500,90.65,1,1,0,
1000,40,0.95,1,-335000,2000,90.6875,1,1,0,
1000,40,0.95,1,-335000,2500,90.7,1,1,0,
1000,40,0.95,1,-502500,500,90.75,1.5,1,0,
1000,40,0.95,1,-502500,1000,115.6375,1.5,1,0,
1000,40,0.95,1,-502500,1500,115.675,1.5,1,0,
1000,40,0.95,1,-502500,2000,115.7125,1.5,1,0,
1000,40,0.95,1,-502500,2500,115.7375,1.5,1,0,
1000,40,0.95,1,-670000,500,90.875,2,1,0,
1000,40,0.95,1,-670000,1000,115.7,2,1,0,
1000,40,0.95,1,-670000,1500,115.75,2,1,0,
1000,40,0.95,1,-670000,2000,115.7875,2,1,0,
1000,40,0.95,1,-670000,2500,115.825,2,1,0,
1000,40,0.8,1,-335000,500,15.85,1,1,0,
1000,40,0.8,1,-335000,1000,16.0125,1,1,0,
1000,40,0.8,1,-335000,1500,16.625,1,1,0,
1000,40,0.8,1,-335000,2000,40.6875,1,1,0,
1000,40,0.8,1,-335000,2500,40.6875,1,1,0,
1000,40,0.8,1,-502500,500,41.4125,1.5,1,0,
1000,40,0.8,1,-502500,1000,41.725,1.5,1,0,
1000,40,0.8,1,-502500,1500,41.9,1.5,1,0,
1000,40,0.8,1,-502500,2000,42.0375,1.5,1,0,
1000,40,0.8,1,-502500,2500,42.15,1.5,1,0,
1000,40,0.8,1,-670000,500,41.8125,2,1,0,
1000,40,0.8,1,-670000,1000,66.825,2,1,0,
1000,40,0.8,1,-670000,1500,67,2,1,0,
1000,40,0.8,1,-670000,2000,67.125,2,1,0,
1000,40,0.8,1,-670000,2500,67.25,2,1,0,
1000,40,1.075,1,-335000,500,215.9625,1,1,0,
1000,40,1.075,1,-335000,1000,291.1125,1,1,0,
1000,40,1.075,1,-335000,1500,341.0875,1,1,0,
1000,40,1.075,1,-335000,2000,366.2375,1,1,0,
1000,40,1.075,1,-335000,2500,391.2875,1,1,0,
1000,40,1.075,1,-502500,500,241.2625,1.5,1,0,
1000,40,1.075,1,-502500,1000,316.1375,1.5,1,0,
1000,40,1.075,1,-502500,1500,366.075,1.5,1,0,
1000,40,1.075,1,-502500,2000,391.25,1.5,1,0,
1000,40,1.075,1,-502500,2500,416.35,1.5,1,0,
1000,40,1.075,1,-670000,500,266.0375,2,1,0,
1000,40,1.075,1,-670000,1000,341.0875,2,1,0,
1000,40,1.075,1,-670000,1500,391.0875,2,1,0,
1000,40,1.075,1,-670000,2000,441.025,2,1,0,
1000,40,1.075,1,-670000,2500,466.0875,2,1,0,
1000,40,1.09,1,-335000,500,291.025,1,1,0,
1000,40,1.09,1,-335000,1000,416.425,1,1,0,
1000,40,1.09,1,-335000,1500,516.5,1,1,0,
1000,40,1.09,1,-335000,2000,591.6875,1,1,0,
1000,40,1.09,1,-335000,2500,666.725,1,1,0,
1000,40,1.09,1,-502500,500,316.1875,1.5,1,0,
1000,40,1.09,1,-502500,1000,441.3375,1.5,1,0,
1000,40,1.09,1,-502500,1500,516.7625,1.5,1,0,
1000,40,1.09,1,-502500,2000,591.7875,1.5,1,0,
1000,40,1.09,1,-502500,2500,666.675,1.5,1,0,
1000,40,1.09,1,-670000,500,341.15,2,1,0,
1000,40,1.09,1,-670000,1000,466.3125,2,1,0,
1000,40,1.09,1,-670000,1500,566.35,2,1,0,
1000,40,1.09,1,-670000,2000,641.5125,2,1,0,
1000,40,1.09,1,-670000,2500,716.6,2,1,0,
